HUMAN HOLO · LEGAL REVIEW - NPM LICENSE INVENTORY

cookie-signature@1.2.2 | MIT | runtime/transitive
cookie@0.7.2 | MIT | runtime/transitive
cors@2.8.6 | MIT | runtime/transitive
cross-spawn@7.0.6 | MIT | runtime/transitive
css-select@4.3.0 | BSD-2-Clause | dev
css-what@6.2.2 | BSD-2-Clause | dev
data-uri-to-buffer@4.0.1 | MIT | runtime/transitive
debug@4.3.4 | MIT | runtime/transitive
decompress-response@6.0.0 | MIT | dev
deep-extend@0.6.0 | MIT | dev
define-lazy-prop@2.0.0 | MIT | dev
depd@2.0.0 | MIT | runtime/transitive
detect-libc@2.1.2 | Apache-2.0 | dev
diff@5.2.2 | BSD-3-Clause | dev
dom-serializer@1.4.1 | MIT | dev
domelementtype@2.3.0 | BSD-2-Clause | dev
domhandler@4.3.1 | BSD-2-Clause | dev
domutils@2.8.0 | BSD-2-Clause | dev
dunder-proto@1.0.1 | MIT | runtime/transitive
eastasianwidth@0.2.0 | MIT | runtime/transitive
ecdsa-sig-formatter@1.0.11 | Apache-2.0 | runtime/transitive
ee-first@1.1.1 | MIT | runtime/transitive
elementtree@0.1.7 | Apache-2.0 | dev
emoji-regex@8.0.0 | MIT | runtime/transitive
encodeurl@2.0.0 | MIT | runtime/transitive
end-of-stream@1.4.5 | MIT | dev
entities@2.2.0 | BSD-2-Clause | dev
env-paths@2.2.1 | MIT | dev
es-define-property@1.0.1 | MIT | runtime/transitive
es-errors@1.3.0 | MIT | runtime/transitive
es-object-atoms@1.1.2 | MIT | runtime/transitive
escalade@3.2.0 | MIT | dev
escape-html@1.0.3 | MIT | runtime/transitive
etag@1.8.1 | MIT | runtime/transitive
events-universal@1.0.1 | Apache-2.0 | dev
expand-template@2.0.3 | declared: (MIT OR WTFPL) | reviewed: MIT | dev | evidence: ralphtheninja/expand-template LICENSE; Copyright (c) 2018 Lars-Magnus Skog
express@5.2.1 | MIT | runtime/transitive
express/node_modules/debug@4.4.3 | MIT | runtime/transitive
express/node_modules/ms@2.1.3 | MIT | runtime/transitive
extend@3.0.2 | MIT | runtime/transitive
fast-fifo@1.3.2 | MIT | dev
fd-slicer@1.1.0 | MIT | dev
fetch-blob@3.2.0 | MIT | runtime/transitive
finalhandler@2.1.1 | MIT | runtime/transitive
finalhandler/node_modules/debug@4.4.3 | MIT | runtime/transitive
finalhandler/node_modules/ms@2.1.3 | MIT | runtime/transitive
foreground-child@3.3.1 | ISC | runtime/transitive
foreground-child/node_modules/signal-exit@4.1.0 | ISC | runtime/transitive
formdata-polyfill@4.0.10 | MIT | runtime/transitive
forwarded@0.2.0 | MIT | runtime/transitive
fresh@2.0.0 | MIT | runtime/transitive
fs-constants@1.0.0 | MIT | dev
fs-extra@10.1.0 | MIT | dev
fs-minipass@2.1.0 | ISC | dev
fs-minipass/node_modules/minipass@3.3.6 | ISC | dev
fs-minipass/node_modules/yallist@4.0.0 | ISC | dev
fs.realpath@1.0.0 | ISC | dev
function-bind@1.1.2 | MIT | runtime/transitive
gaxios@7.3.1 | Apache-2.0 | runtime/transitive
gaxios/node_modules/node-fetch@3.3.2 | MIT | runtime/transitive
gcp-metadata@8.1.4 | Apache-2.0 | runtime/transitive
gcp-metadata/node_modules/balanced-match@1.0.2 | MIT | runtime/transitive
gcp-metadata/node_modules/brace-expansion@2.1.4 | MIT | runtime/transitive
gcp-metadata/node_modules/gaxios@7.1.3 | Apache-2.0 | runtime/transitive
gcp-metadata/node_modules/glob@10.5.0 | ISC | runtime/transitive
gcp-metadata/node_modules/google-logging-utils@1.1.3 | Apache-2.0 | runtime/transitive
gcp-metadata/node_modules/lru-cache@10.4.3 | ISC | runtime/transitive
gcp-metadata/node_modules/minimatch@9.0.9 | ISC | runtime/transitive
gcp-metadata/node_modules/node-fetch@3.3.2 | MIT | runtime/transitive
gcp-metadata/node_modules/path-scurry@1.11.1 | BlueOak-1.0.0 | runtime/transitive
gcp-metadata/node_modules/rimraf@5.0.10 | ISC | runtime/transitive
get-caller-file@2.0.5 | ISC | dev
get-intrinsic@1.3.0 | MIT | runtime/transitive
get-proto@1.0.1 | MIT | runtime/transitive
github-from-package@0.0.0 | MIT | dev
glob@13.0.6 | BlueOak-1.0.0 | dev
google-auth-library@10.5.0 | Apache-2.0 | runtime/transitive
google-logging-utils@1.2.0 | Apache-2.0 | runtime/transitive
googleapis-common@8.0.3 | Apache-2.0 | runtime/transitive
googleapis-common/node_modules/balanced-match@1.0.2 | MIT | runtime/transitive
googleapis-common/node_modules/brace-expansion@2.1.4 | MIT | runtime/transitive
googleapis-common/node_modules/gaxios@7.1.3 | Apache-2.0 | runtime/transitive
googleapis-common/node_modules/glob@10.5.0 | ISC | runtime/transitive
googleapis-common/node_modules/google-logging-utils@1.1.3 | Apache-2.0 | runtime/transitive
googleapis-common/node_modules/lru-cache@10.4.3 | ISC | runtime/transitive
googleapis-common/node_modules/minimatch@9.0.9 | ISC | runtime/transitive
googleapis-common/node_modules/node-fetch@3.3.2 | MIT | runtime/transitive
googleapis-common/node_modules/path-scurry@1.11.1 | BlueOak-1.0.0 | runtime/transitive
googleapis-common/node_modules/rimraf@5.0.10 | ISC | runtime/transitive
googleapis@175.0.0 | Apache-2.0 | runtime/transitive
gopd@1.2.0 | MIT | runtime/transitive
graceful-fs@4.2.11 | ISC | dev
gradle-to-js@2.0.1 | Apache-2.0 | dev
gtoken@8.0.0 | MIT | runtime/transitive
has-symbols@1.1.0 | MIT | runtime/transitive
hasown@2.0.4 | MIT | runtime/transitive
he@1.2.0 | MIT | dev
http-errors@2.0.1 | MIT | runtime/transitive
https-proxy-agent@7.0.6 | MIT | runtime/transitive
iconv-lite@0.7.3 | MIT | runtime/transitive
ieee754@1.2.1 | BSD-3-Clause | dev
inherits@2.0.4 | ISC | runtime/transitive
ini@2.0.0 | ISC | dev
ipaddr.js@1.9.1 | MIT | runtime/transitive
is-arrayish@0.3.4 | MIT | dev
is-docker@2.2.1 | MIT | dev
is-fullwidth-code-point@3.0.0 | MIT | runtime/transitive
is-promise@4.0.0 | MIT | runtime/transitive
is-wsl@2.2.0 | MIT | dev
isexe@2.0.0 | ISC | runtime/transitive
jackspeak@3.4.3 | BlueOak-1.0.0 | runtime/transitive
json-bigint@1.0.0 | MIT | runtime/transitive
jsonfile@6.2.1 | MIT | dev
jwa@2.0.1 | MIT | runtime/transitive
jws@4.0.1 | MIT | runtime/transitive
kleur@4.1.5 | MIT | dev
lodash.merge@4.6.2 | MIT | dev
lodash@4.18.1 | MIT | dev
lru-cache@11.5.2 | BlueOak-1.0.0 | dev
math-intrinsics@1.1.0 | MIT | runtime/transitive
media-typer@1.1.1 | MIT | runtime/transitive
merge-descriptors@2.0.0 | MIT | runtime/transitive
mime-db@1.54.0 | MIT | runtime/transitive
mime-types@3.0.2 | MIT | runtime/transitive
mimic-response@3.1.0 | MIT | dev
minimatch@10.2.6 | BlueOak-1.0.0 | dev
minimist@1.2.8 | MIT | dev
minipass@7.1.3 | BlueOak-1.0.0 | runtime/transitive
minizlib@3.1.0 | MIT | dev
mkdirp-classic@0.5.3 | MIT | dev
mkdirp@1.0.4 | MIT | dev
ms@2.1.2 | MIT | runtime/transitive
napi-build-utils@2.0.0 | MIT | dev
native-run@2.0.3 | MIT | dev
native-run/node_modules/ini@4.1.3 | ISC | dev
negotiator@1.1.0 | MIT | runtime/transitive
negotiator/node_modules/content-type@2.1.0 | MIT | runtime/transitive
node-abi@3.96.0 | MIT | dev
node-addon-api@6.1.0 | MIT | dev
node-domexception@1.0.0 | MIT | runtime/transitive
node-fetch@2.7.0 | MIT | dev
node-html-parser@5.4.2 | MIT | dev
nth-check@2.1.1 | BSD-2-Clause | dev
object-assign@4.1.1 | MIT | runtime/transitive
object-inspect@1.13.4 | MIT | runtime/transitive
on-finished@2.4.1 | MIT | runtime/transitive
once@1.4.0 | ISC | runtime/transitive
open@8.4.2 | MIT | dev
openai@5.23.2 | Apache-2.0 | runtime/transitive
package-json-from-dist@1.0.1 | BlueOak-1.0.0 | runtime/transitive
parseurl@1.3.3 | MIT | runtime/transitive
path-key@3.1.1 | MIT | runtime/transitive
path-scurry@2.0.2 | BlueOak-1.0.0 | dev
path-to-regexp@8.4.2 | MIT | runtime/transitive
pend@1.2.0 | MIT | dev
pg-cloudflare@1.4.0 | MIT | runtime/transitive
pg-connection-string@2.14.0 | MIT | runtime/transitive
pg-int8@1.0.1 | ISC | runtime/transitive
pg-pool@3.14.0 | MIT | runtime/transitive
pg-protocol@1.16.0 | MIT | runtime/transitive
pg-types@2.2.0 | MIT | runtime/transitive
pg@8.23.0 | MIT | runtime/transitive
pgpass@1.0.5 | MIT | runtime/transitive
plist@3.1.1 | MIT | dev
postgres-array@2.0.0 | MIT | runtime/transitive
postgres-bytea@1.0.1 | MIT | runtime/transitive
postgres-date@1.0.7 | MIT | runtime/transitive
postgres-interval@1.2.0 | MIT | runtime/transitive
prebuild-install@7.1.3 | MIT | dev
prebuild-install/node_modules/chownr@1.1.4 | ISC | dev
prebuild-install/node_modules/tar-fs@2.1.5 | MIT | dev
prebuild-install/node_modules/tar-stream@2.2.0 | MIT | dev
prettier@2.8.8 | MIT | dev
prompts@2.4.2 | MIT | dev
prompts/node_modules/kleur@3.0.3 | MIT | dev
proxy-addr@2.0.7 | MIT | runtime/transitive
pump@3.0.4 | MIT | dev
qs@6.15.3 | BSD-3-Clause | runtime/transitive
range-parser@1.3.0 | MIT | runtime/transitive
raw-body@3.0.2 | MIT | runtime/transitive
rc@1.2.8 | (BSD-2-Clause OR MIT OR Apache-2.0) | dev
rc/node_modules/ini@1.3.8 | ISC | dev
readable-stream@3.6.2 | MIT | dev
regexp-to-ast@0.5.0 | MIT | dev
require-directory@2.1.1 | MIT | dev
rimraf@6.1.3 | BlueOak-1.0.0 | dev
router@2.2.0 | MIT | runtime/transitive
router/node_modules/debug@4.4.3 | MIT | runtime/transitive
router/node_modules/ms@2.1.3 | MIT | runtime/transitive
safe-buffer@5.2.1 | MIT | runtime/transitive
safer-buffer@2.1.2 | MIT | runtime/transitive
sax@1.1.4 | ISC | dev
semver@7.8.5 | ISC | dev
send@1.2.1 | MIT | runtime/transitive
send/node_modules/debug@4.4.3 | MIT | runtime/transitive
send/node_modules/ms@2.1.3 | MIT | runtime/transitive
serve-static@2.2.1 | MIT | runtime/transitive
setprototypeof@1.2.0 | ISC | runtime/transitive
sharp@0.32.6 | Apache-2.0 | dev
shebang-command@2.0.0 | MIT | runtime/transitive
shebang-regex@3.0.0 | MIT | runtime/transitive
side-channel-list@1.0.1 | MIT | runtime/transitive
side-channel-map@1.0.1 | MIT | runtime/transitive
side-channel-weakmap@1.0.2 | MIT | runtime/transitive
side-channel@1.1.1 | MIT | runtime/transitive
signal-exit@3.0.7 | ISC | dev
simple-concat@1.0.1 | MIT | dev
simple-get@4.0.1 | MIT | dev
simple-plist@1.3.1 | MIT | dev
simple-plist/node_modules/bplist-parser@0.3.1 | MIT | dev
simple-swizzle@0.2.4 | MIT | dev
sisteransi@1.0.5 | MIT | dev
slice-ansi@4.0.0 | MIT | dev
split2@4.2.0 | ISC | runtime/transitive
statuses@2.0.2 | MIT | runtime/transitive
stream-buffers@2.2.0 | Unlicense | dev
streamx@2.28.1 | MIT | dev
string_decoder@1.3.0 | MIT | dev
string-width-cjs@4.2.3 | MIT | runtime/transitive
string-width@4.2.3 | MIT | runtime/transitive
strip-ansi-cjs@6.0.1 | MIT | runtime/transitive
strip-ansi@6.0.1 | MIT | runtime/transitive
strip-json-comments@2.0.1 | MIT | dev
tar-fs@3.1.3 | MIT | dev
tar-stream@3.2.1 | MIT | dev
tar@7.5.22 | BlueOak-1.0.0 | dev
teex@1.0.1 | MIT | dev
text-decoder@1.2.7 | Apache-2.0 | dev
through2@4.0.2 | MIT | dev
toidentifier@1.0.1 | MIT | runtime/transitive
tr46@0.0.3 | MIT | dev
tree-kill@1.2.2 | MIT | dev
tslib@2.6.2 | 0BSD | runtime/transitive
tunnel-agent@0.6.0 | Apache-2.0 | dev
type-is@2.1.0 | MIT | runtime/transitive
type-is/node_modules/content-type@2.1.0 | MIT | runtime/transitive
undici-types@8.3.0 | MIT | dev
universalify@2.0.1 | MIT | dev
unpipe@1.0.0 | MIT | runtime/transitive
untildify@4.0.0 | MIT | dev
url-template@2.0.8 | declared: BSD | reviewed: BSD-3-Clause | runtime/transitive | evidence: bramstein/url-template LICENSE; Copyright (c) 2012-2014 Bram Stein
util-deprecate@1.0.2 | MIT | dev
uuid@7.0.3 | MIT | dev
vary@1.1.2 | MIT | runtime/transitive
web-streams-polyfill@3.3.3 | MIT | runtime/transitive
webidl-conversions@3.0.1 | BSD-2-Clause | dev
whatwg-url@5.0.0 | MIT | dev
which@2.0.2 | ISC | runtime/transitive
wrap-ansi-cjs@7.0.0 | MIT | runtime/transitive
wrap-ansi@7.0.0 | MIT | dev
wrappy@1.0.2 | ISC | runtime/transitive
ws@8.18.0 | MIT | runtime/transitive
xcode@3.0.1 | Apache-2.0 | dev
xml-js@1.6.11 | MIT | dev
xml-js/node_modules/sax@1.6.1 | BlueOak-1.0.0 | dev
xml2js@0.6.2 | MIT | dev
xml2js/node_modules/xmlbuilder@11.0.1 | MIT | dev
xmlbuilder@15.1.1 | MIT | dev
xpath@0.0.32 | MIT | dev
xtend@4.0.2 | MIT | runtime/transitive
y18n@5.0.8 | ISC | dev
yallist@5.0.0 | BlueOak-1.0.0 | dev
yargs-parser@21.1.1 | ISC | dev
yargs@17.7.2 | MIT | dev
yauzl@2.10.0 | MIT | dev
